-,-,-
--at-
-87172 7.948 40.47
-17.822266, -143.798828, 670.410156
-9.521484, 7.812500, 805.175781
153.808594, -86.181641, 983.886719
334.960938, -256.591797, 1441.406250
234.863281, -124.267578, 1939.453125
263.671875, -5.126953, 1606.445312
385.742188, -59.326172, 1632.812500
594.726562, -136.474609, 1712.402344
350.097656, -54.931641, 1484.863281
148.437500, 36.132812, 1370.117188
200.195312, 30.273438, 1438.476562
100.585938, -12.939453, 1420.410156
240.722656, -109.130859, 1325.195312
151.855469, -134.033203, 983.886719
283.203125, -54.931641, 583.984375
-,-,-
-58.349609, 25.390625, 694.335938
-161.376953, 63.476562, 730.468750
67.382812, 68.359375, 687.500000
-20.751953, -61.279297, 802.246094
33.203125, -26.123047, 1018.554688
55.664062, -64.208984, 882.324219
42.480469, -123.779297, 1121.093750
179.687500, -132.080078, 912.597656
255.371094, -242.919922, 1252.929688
237.792969, -155.029297, 1196.777344
329.589844, -141.357422, 1460.937500
258.789062, -156.982422, 1548.339844
256.835938, -145.751953, 1464.843750
203.613281, -123.779297, 1470.703125
240.722656, -98.876953, 1455.078125
284.667969, -103.271484, 1300.292969
257.324219, -78.857422, 1098.632812
322.753906, -133.544922, 1073.242188
278.320312, -102.783203, 731.445312
-,-,-
-179.443359, 99.121094, 806.152344
-10.498047, 24.902344, 785.156250
-55.419922, -30.517578, 933.105469
-24.658203, -26.123047, 831.542969
188.476562, -184.326172, 968.750000
-1.220703, -178.955078, 1058.593750
147.460938, -77.392578, 1221.191406
98.144531, -247.314453, 1312.011719
145.996094, -235.107422, 1265.136719
198.242188, -275.146484, 1334.472656
60.546875, -224.365234, 1390.625000
105.957031, -45.654297, 1210.937500
217.285156, -152.099609, 1357.421875
111.328125, -187.744141, 1416.992188
232.421875, -183.349609, 1501.464844
333.984375, -281.005859, 1644.531250
304.199219, -274.658203, 1377.929688
321.289062, -302.490234, 1247.558594
-,-,-
-93.017578, -32.958984, 825.195312
-174.560547, -13.427734, 922.851562
-129.150391, -123.779297, 957.031250
-31.494141, -139.404297, 1021.484375
-36.865234, -249.755859, 1068.359375
133.300781, -190.673828, 1217.285156
22.460938, -172.119141, 1037.597656
45.410156, -199.951172, 1360.351562
170.410156, -231.689453, 1240.722656
-60.302734, -87.158203, 1365.234375
177.246094, -170.654297, 1343.750000
0.488281, -29.541016, 1261.718750
64.453125, -96.923828, 1372.070312
83.496094, -87.646484, 1394.531250
142.578125, -150.146484, 1569.335938
192.382812, -274.169922, 1632.812500
211.425781, -283.935547, 1351.562500
200.195312, -249.755859, 1102.539062
271.484375, -129.150391, 507.812500
234.863281, 54.687500, 169.921875
350.585938, 107.421875, 219.726562
267.089844, 78.125000, 398.437500
-,-,-
-309.814453, 98.632812, 733.398438
-287.841797, 76.660156, 793.945312
-275.146484, 29.785156, 808.105469
-96.923828, 13.671875, 827.148438
-19.775391, 8.789062, 732.421875
43.457031, 28.808594, 837.890625
166.992188, -86.181641, 916.015625
80.078125, 8.789062, 1025.390625
223.144531, -246.826172, 1318.847656
150.390625, -257.568359, 1346.679688
143.554688, -207.275391, 1359.375000
187.011719, -185.302734, 1350.097656
196.777344, -197.998047, 1478.027344
29.785156, -45.654297, 1205.078125
161.132812, -141.357422, 1410.156250
223.632812, -121.337891, 1382.812500
246.582031, -164.794922, 1419.921875
352.539062, -182.373047, 1336.914062
370.605469, -287.841797, 1360.351562
343.261719, -274.169922, 831.542969
294.921875, -144.287109, 631.835938
271.972656, 3.417969, 403.320312
-,-,-
-309.326172, 41.503906, 751.464844
-199.951172, 30.761719, 843.750000
-173.095703, 55.664062, 792.968750
-240.966797, -28.564453, 861.328125
55.175781, -28.076172, 939.453125
-93.505859, -130.126953, 994.140625
160.644531, -229.248047, 1087.402344
101.074219, -152.099609, 1212.890625
10.253906, -109.130859, 1473.632812
130.859375, -173.583984, 1227.539062
183.593750, -154.052734, 1315.917969
185.546875, -92.529297, 1238.281250
173.828125, -77.880859, 1377.441406
90.820312, -124.755859, 1439.453125
67.382812, -159.423828, 1583.496094
46.386719, -241.943359, 1659.179688
85.937500, -234.619141, 1417.968750
152.343750, -194.091797, 1009.765625
140.625000, -126.708984, 645.996094
260.253906, -11.474609, 410.156250
215.332031, 66.406250, 432.617188
